Loc ID,taluk,season,Type,EstimatedSalary,Village,soil,crop,lattitude,longitude,Rainfall,Humidity,Temperature,Uwater,feritilzers
15624510,hd kotte,warm season,19,19000,Alalahalli,clay loam,paddy,12.2352,76.4548,1035.4,55%,29,321,"Urea and slightly moist soil are mixed in the proportion of 1:6,For 100 kg urea, about 5 kg of coal tar and one and a half litre of kerosene is required. 30 kg well-powdered neem cake "
15810944,hd kotte,winter season,35,20000,Beguru,loamy sand,maize,12.8781,76.6379,1035.4,55%,29,197,"fertilizer required is best calculated by multiplying the target yield in tons per hectare, by 20-25 Kg. For a 30 bag per acre crop this is 160 Kg of nitrogen."
15668575,hd kotte,winter season,26,43000,Golur,clay loam,maize,12.1133,12.1133,1035.4,55%,29,158,"fertilizer required is best calculated by multiplying the target yield in tons per hectare, by 20-25 Kg. For a 30 bag per acre crop this is 160 Kg of nitrogen."
15603246,hd kotte,Kharif,27,57000,Honnurkuppe,loamy sand,ragi,11.9977,76.2841,1105.2,55%,26,327,"40:20:20 NPK kg/ha for short duration varieties cultivated under rainfed conditions; 60:30:30,Azospirillum brasilense (N fixing bacterium) and Aspergillus awamori (P Solubilizing fungus) @ 25 g/kg "
15804002,hd kotte,Alalahalli,19,76000,Alalahalli,sandy loam,tur,12.9452,77.5443,1105.2,55%,26,174,ARyaLAxmi organic manur and differnt sudcategory nutrients
15728773,hd kotte,Beguru,27,58000,Beguru,clay loam,tur,12.8781,76.6379,1105.2,55%,26,179,ARyaLAxmi organic manur and differnt sudcategory nutrients
15598044,hd kotte,Sowing Season,27,84000,Golur,clay loam,horse gram,12.1133,12.1133,981.9,55%,27,328,Manures and Fertilizers in Horse Gram Farming:- 5 to 6 tonnes of well rotten farm yard manure or compost should be added along with basal application of 20 to 22 kg of urea & 60 to 65 kg of super phosphate per acre land.
15694829,hd kotte,Sowing Season,32,150000,Honnurkuppe,sandy clay,black gram,11.9977,76.2841,981.9,55%,27,186,20 kg N	44 kg Urea	Basal application at the of sowing with ferti-cum-seed drill
15600575,hd kotte,winter season,25,33000,Alalahalli,sandy loam,green gram,12.9452,77.5443,981.9,55%,27,194,seed treatment with biofertilizer viz. Rhizobium at the rate of 25gram per kg
15727311,hd kotte,winter season,35,65000,Beguru,loamy sand,avre,12.8781,76.6379,1243.6,55%,28,321,"BIO-K-RICH,BORON PLUS-20,YARAVERA,P-10-K-20-N98"
15570769,hd kotte,Rabi season,26,80000,Golur,sandy loam,cowpea,12.1133,12.1133,1243.6,55%,28,193,Field Yard Manure is used in the main fields along with a basal application of 45kg urea and 120kg superphosphate per acre.
15606274,hd kotte,winter season,26,52000,Honnurkuppe,clay loam,bengal gram,11.9977,76.2841,1243.6,55%,28,143,"not have moisture exceeding 12% and swabhiman33,les number of p"
15746139,hd kotte,Sowing Season,20,86000,Alalahalli,sandy loam,groundnut,12.088,76.3319,1080.5,55%,27,326,"10-25kg nitrogen (N), 20-40kg phosphorus (P 2 O 5) and 20-40kg potash (K 2 O) per hectare."
15704987,hd kotte,Rabi season,32,18000,Beguru,sandy loam,castor,12.9452,77.5443,1080.5,55%,27,194,P:K AS 40:40:20 KG/HA
15628972,hd kotte,Summer,18,82000,Golur,sandy loam,sesamum,12.8781,76.6379,1080.5,55%,27,153,natural manur  you don’t have to provide additional fertilizers for growing sesame plants.
15697686,hd kotte,Sowing Season,29,80000,Honnurkuppe,sandy loam,cotton,12.1133,12.1133,1208.3,55%,27,323," regylar manur withSecondary nutrients include calcium (Ca), magnesium (Mg) and sulfur (S)."
15733883,hd kotte,Kharif,47,25000,Alalahalli,loamy sand,sugar cane,11.9977,76.2841,1208.3,55%,27,184,depends on the ph level of the soil and sub nutrients requried
15617482,hd kotte,winter season,45,26000,Beguru,sandy loam,tobbaco,12.9452,77.5443,1208.3,55%,27,149,"Tobacco has a requirement of 40 to 80 kg per hectare of nitrogen, 80-90 kg per hectare of phosphorous & 50-110 kg per hectare of potassium. Tobacco Field."
15704583,hd kotte,Spring season,46,28000,Golur,loamy sand,banana,12.8781,76.6379,1161.6,55%,27,398,Banana pell
15621083,hd kotte,Spring season,48,29000,Honnurkuppe,sandy loam,mango,12.1133,12.1133,1161.6,55%,27,197,organic and N-P_K around 5-5-5.
